Depth (Ft),Shear (lbs.)
65.2,-21664.79090958552
65.3,-21709.421762416318
65.4,-21751.666313115238
65.5,-21791.544624730705
65.60000000000001,-21829.07676771915
65.7,-21864.282824707338
65.8,-21897.182873559734
65.9,-21927.797006427703
66.0,-21956.14530435058
66.10000000000001,-21982.247863183737
66.2,-22006.124761849933
66.3,-22027.796089325668
66.4,-22047.281917125667
66.5,-22064.602320204096
66.60000000000001,-22079.777359228214
66.7,-22092.827089573842
66.8,-22103.77155259446
66.9,-22112.630776944075
67.0,-22119.4247781473
67.10000000000001,-22124.173556052832
67.2,-22126.89709298145
67.3,-22127.615352138593
67.4,-22126.348277151334
67.5,-22123.1157897534
67.60000000000001,-22117.937788726853
67.7,-22110.83414871155
67.8,-22101.82471792317
67.9,-22090.929319046172
68.0,-22078.16773984147
68.10000000000001,-22063.55975100505
68.2,-22047.12507785876
68.3,-22028.88342072236
68.4,-22008.854444462908
68.5,-21987.057779553073
68.60000000000001,-21963.51301889625
68.7,-21938.239716239128
68.8,-21911.257386700836
68.9,-21882.585512064394
69.0,-21852.243515642338
69.10000000000001,-21820.250794819112
69.2,-21786.626697239568
69.3,-21751.390521338108
69.4,-21714.56152586328
69.5,-21676.158918236597
69.60000000000001,-21636.201850319398
69.7,-21594.709443811767
69.8,-21551.700739983804
69.9,-21507.194759468966
70.0,-21461.21044829132
70.10000000000001,-21413.766711201646
70.2,-21364.882379928764
70.3,-21314.57624704479
70.4,-21262.867039507906
70.5,-21209.77343400755
70.60000000000001,-21155.31403315291
70.7,-21099.507396163313
70.8,-21042.37200606126
70.9,-20983.926294013072
71.0,-20924.18861816311
71.10000000000001,-20863.17728374127
71.2,-20800.91052401378
71.3,-20737.40650028319
71.4,-20672.6833103547
71.5,-20606.758998060748
71.60000000000001,-20539.65152468721
71.7,-20471.378772148273
71.8,-20401.958584259697
71.9,-20331.408702183187
72.0,-20259.746804641378
72.10000000000001,-20186.99050368468
72.2,-20113.157331991806
72.3,-20038.26475556925
72.4,-19962.33014941061
72.5,-19885.370825012145
72.60000000000001,-19807.40402931446
72.7,-19728.446889671464
72.8,-19648.516509096422
72.9,-19567.629864666167
73.0,-19485.80389112596
73.10000000000001,-19403.055420567005
73.2,-19319.401208883675
73.3,-19234.857942123246
73.4,-19149.442208970384
73.5,-19063.170534612396
